Complaint_Description,Priority
Improper disposal of biomedical waste reported at Manacaud Area,High
Sharp medical objects found in open area at Peroorkada Junction,Critical
Hospital waste mixed with regular garbage at Vanchiyoor Ward,High
Improper storage of biomedical waste at Kazhakkoottam Junction facility,High
Hospital waste mixed with regular garbage at Nemom Ward,High
Hazardous industrial waste reported at Karamana Area,Critical
Request for inspection of hazardous waste handling at Kowdiar Junction,Low
Biomedical waste burning noticed at Vanchiyoor Ward locality,Critical
Expired medicines disposed improperly at Karamana Area,High
Used syringes and medical waste found dumped at Manacaud Area,Critical
Sharp medical objects found in open area at Vanchiyoor Ward,Critical
Toxic waste containers left unattended at Sreekariyam Area,Critical
Toxic waste containers left unattended at Kazhakkoottam Junction,Critical
Expired medicines disposed improperly at Vanchiyoor Ward,High
Needle disposal violation reported near Kazhakkoottam Junction,High
Improper disposal of biomedical waste reported at Kazhakkoottam Junction,High
Hazardous industrial waste reported at East Fort Junction,Critical
Hazardous industrial waste reported at Kowdiar Junction,Critical
Request for inspection of hazardous waste handling at Thampanoor Junction,Low
Sharp medical objects found in open area at Palayam Area,Critical
Needle disposal violation reported near Vellayambalam Ward,High
Hazardous chemical waste leakage observed at Karamana Area,Critical
Needle disposal violation reported near Sreekariyam Area,High
Laboratory waste dumped illegally at Attakulangara Market Area,Critical
Contaminated waste water discharged at Nemom Ward,Medium
Blood-stained medical materials found in garbage at Palayam Area,Critical
Hospital waste mixed with regular garbage at Manacaud Area,High
Sharp medical objects found in open area at Poojappura Road,Critical
Sharp medical objects found in open area at East Fort Junction,Critical
Expired medicines disposed improperly at Vellayambalam Ward,High
Improper disposal of biomedical waste reported at Vellayambalam Ward,High
Expired medicines disposed improperly at East Fort Junction,High
Expired medicines disposed improperly at Manacaud Area,High
Used syringes and medical waste found dumped at Kowdiar Junction,Critical
Expired medicines disposed improperly at Thampanoor Junction,High
Improper disposal of biomedical waste reported at Nemom Ward,High
Hazardous industrial waste reported at Peroorkada Junction,Critical
Expired medicines disposed improperly at Vellayambalam Ward,High
Request for inspection of hazardous waste handling at Poojappura Road,Low
Used syringes and medical waste found dumped at Kowdiar Junction,Critical
Toxic waste containers left unattended at Vanchiyoor Ward,Critical
Laboratory waste dumped illegally at Poojappura Road,Critical
Toxic waste containers left unattended at Pattom Ward,Critical
Blood-stained medical materials found in garbage at Thampanoor Junction,Critical
Hazardous chemical waste leakage observed at Manacaud Area,Critical
Biomedical waste burning noticed at East Fort Junction locality,Critical
Improper disposal of biomedical waste reported at Sreekariyam Area,High
Needle disposal violation reported near Palayam Area,High
Hazardous industrial waste reported at Thampanoor Junction,Critical
Improper storage of biomedical waste at Peroorkada Junction facility,High
Sharp medical objects found in open area at Vellayambalam Ward,Critical
Toxic waste containers left unattended at Thampanoor Junction,Critical
Blood-stained medical materials found in garbage at Palayam Area,Critical
Needle disposal violation reported near Peroorkada Junction,High
Improper disposal of biomedical waste reported at East Fort Junction,High
Request for inspection of hazardous waste handling at Kazhakkoottam Junction,Low
Request for inspection of hazardous waste handling at Palayam Area,Low
Hospital waste mixed with regular garbage at Karamana Area,High
Improper storage of biomedical waste at Thampanoor Junction facility,High
Hazardous chemical waste leakage observed at Karamana Area,Critical
Hazardous chemical waste leakage observed at East Fort Junction,Critical
Contaminated waste water discharged at Manacaud Area,Medium
Needle disposal violation reported near Kazhakkoottam Junction,High
Hazardous industrial waste reported at Sreekariyam Area,Critical
Biomedical waste burning noticed at Peroorkada Junction locality,Critical
Used syringes and medical waste found dumped at Thampanoor Junction,Critical
Laboratory waste dumped illegally at Nemom Ward,Critical
Improper disposal of biomedical waste reported at Manacaud Area,High
Improper disposal of biomedical waste reported at East Fort Junction,High
Improper storage of biomedical waste at Vanchiyoor Ward facility,High
Expired medicines disposed improperly at Poojappura Road,High
Laboratory waste dumped illegally at Karamana Area,Critical
Toxic waste containers left unattended at Peroorkada Junction,Critical
Toxic waste containers left unattended at Thampanoor Junction,Critical
Contaminated waste water discharged at Vellayambalam Ward,Medium
Hazardous chemical waste leakage observed at Nemom Ward,Critical
Laboratory waste dumped illegally at Manacaud Area,Critical
Laboratory waste dumped illegally at Pattom Ward,Critical
Laboratory waste dumped illegally at Thampanoor Junction,Critical
Toxic waste containers left unattended at Pattom Ward,Critical
Needle disposal violation reported near Attakulangara Market Area,High
Improper disposal of biomedical waste reported at Sreekariyam Area,High
Request for inspection of hazardous waste handling at Kazhakkoottam Junction,Low
Toxic waste containers left unattended at Nemom Ward,Critical
Hazardous chemical waste leakage observed at Palayam Area,Critical
Sharp medical objects found in open area at Pattom Ward,Critical
Sharp medical objects found in open area at Nemom Ward,Critical
Blood-stained medical materials found in garbage at Kazhakkoottam Junction,Critical
Used syringes and medical waste found dumped at Kazhakkoottam Junction,Critical
Contaminated waste water discharged at Vanchiyoor Ward,Medium
Improper disposal of biomedical waste reported at Kazhakkoottam Junction,High
Blood-stained medical materials found in garbage at Thampanoor Junction,Critical
Biomedical waste burning noticed at Kazhakkoottam Junction locality,Critical
Used syringes and medical waste found dumped at Sreekariyam Area,Critical
Improper disposal of biomedical waste reported at Kowdiar Junction,High
Hospital waste mixed with regular garbage at Palayam Area,High
Sharp medical objects found in open area at Palayam Area,Critical
Laboratory waste dumped illegally at Palayam Area,Critical
Sharp medical objects found in open area at Vellayambalam Ward,Critical
Sharp medical objects found in open area at Kowdiar Junction,Critical
Improper storage of biomedical waste at Thampanoor Junction facility,High
Used syringes and medical waste found dumped at Thampanoor Junction,Critical
Hazardous chemical waste leakage observed at Thampanoor Junction,Critical
Improper disposal of biomedical waste reported at Vanchiyoor Ward,High
Sharp medical objects found in open area at Peroorkada Junction,Critical
Hospital waste mixed with regular garbage at Karamana Area,High
Biomedical waste burning noticed at Vellayambalam Ward locality,Critical
Blood-stained medical materials found in garbage at Kowdiar Junction,Critical
Hospital waste mixed with regular garbage at Sreekariyam Area,High
Laboratory waste dumped illegally at Kowdiar Junction,Critical
Expired medicines disposed improperly at Sreekariyam Area,High
Contaminated waste water discharged at Karamana Area,Medium
Blood-stained medical materials found in garbage at Vanchiyoor Ward,Critical
Hazardous chemical waste leakage observed at Attakulangara Market Area,Critical
Application status showing pending for certificate at Karamana Zonal Office,Low
Name spelling mistake in birth certificate issued at Peroorkada Civic Center,Low
Hospital record mismatch affecting certificate issuance at Poojappura Zonal Office,Low
Parent details incorrectly recorded in birth certificate at Attakulangara Ward Section,Low
Hospital record mismatch affecting certificate issuance at Fort Area Civic Office,Low
Name spelling mistake in birth certificate issued at Kazhakkoottam Zonal Office,Low
Hospital record mismatch affecting certificate issuance at Manacaud Ward Office,Low
Late registration of birth not accepted at Karamana Zonal Office office,Low
Urgent birth certificate request delayed at Nemom Ward Office,Low
Incorrect date of birth mentioned in certificate from Palayam Records Office,Low
Death certificate download link not working for Palayam Records Office,Low
Online application for death certificate not processed at Poojappura Zonal Office,Low
Online application for death certificate not processed at Vellayambalam Ward Office,Low
Delay in issuing birth certificate at Thampanoor Municipal Office TVM Corporation office,Low
Death certificate download link not working for Thampanoor Municipal Office,Low
Urgent birth certificate request delayed at Kowdiar Area Office,Low
Application status showing pending for certificate at Karamana Zonal Office,Low
Name spelling mistake in birth certificate issued at Sreekariyam Civic Center,Low
Name spelling mistake in birth certificate issued at Thampanoor Municipal Office,Low
